Hazard_Class,Hazard_Level,Length_km,Percentage_of_Classified_Road
1,Very Low,218.31311468610733,15.09926918533419
2,Low,173.2821857809409,11.984778705995055
3,Moderate,274.36914835638066,18.976292986980663
4,High,299.61856405625394,20.72262748902353
5,Very High,480.26918040496446,33.21703163266655
