Area_km2,Hazard_Class,Hazard_Level,Percentage
729.9080453517902,1,Very Low,21.79689532833321
697.3081829387172,2,Low,20.823381207943783
616.3584569202167,3,Moderate,18.40601820431762
621.8861836437219,4,High,18.57109006722304
683.2180799452105,5,Very High,20.40261519218234
