Percentage_of_Total,Population,Risk_Class,Risk_Level
1.180392135759836,2996.4712747313083,1,Very Low
27.20209145520626,69053.56549641033,2,Low
30.94480091670688,78554.57880486692,3,Moderate
26.10677572351366,66273.06397717117,4,High
1.9390822277158788,4922.435535333671,5,Very High
